VTX, IDX, POSITION.x, POSITION.y, POSITION.z
379, 379,  0.21132,  0.78868, -0.57735
380, 380,  0.21132,  0.57735, -0.78868
381, 381,  0.40825,  0.8165, -0.40825
382, 382,  0.21132,  0.78868, -0.57735
383, 383,  0.4264,  0.6396, -0.6396
384, 384,  0.98079,  0.19509,  0.00
385, 385,  0.98788,  0.14714, -0.04936
386, 386,  0.98918,  0.14673,  0.00
387, 387,  0.98788,  0.14714, -0.04936
388, 388,  0.99025,  0.09849, -0.09849
389, 389,  0.99518,  0.09802,  0.00
390, 390,  0.98918,  0.14673,  0.00
391, 391,  0.98788,  0.14714, -0.04936
392, 392,  0.99518,  0.09802,  0.00
393, 393,  0.99025,  0.09849, -0.09849
394, 394,  0.98788,  0.04936, -0.14714
395, 395,  0.99756,  0.04936, -0.04936
396, 396,  0.99756,  0.04936, -0.04936
397, 397,  0.98788,  0.04936, -0.14714
398, 398,  0.98079,  0.00, -0.19509
399, 399,  0.99756,  0.04936, -0.04936
400, 400,  0.98079,  0.00, -0.19509
401, 401,  1.00,  0.00,  0.00
402, 402,  1.00,  0.00,  0.00
403, 403,  0.9988,  0.04907,  0.00
404, 404,  0.99756,  0.04936, -0.04936
405, 405,  0.99756,  0.04936, -0.04936
406, 406,  0.9988,  0.04907,  0.00
407, 407,  0.99518,  0.09802,  0.00
408, 408,  0.99756,  0.04936, -0.04936
409, 409,  0.99518,  0.09802,  0.00
410, 410,  0.99025,  0.09849, -0.09849
411, 411,  0.92388,  0.38268,  0.00
412, 412,  0.95069,  0.29347, -0.10032
413, 413,  0.95694,  0.29028,  0.00
414, 414,  0.95069,  0.29347, -0.10032
415, 415,  0.95968,  0.19876, -0.19876
416, 416,  0.98079,  0.19509,  0.00
417, 417,  0.95694,  0.29028,  0.00
418, 418,  0.95069,  0.29347, -0.10032
419, 419,  0.98079,  0.19509,  0.00
420, 420,  0.98079,  0.00, -0.19509
421, 421,  0.98788,  0.04936, -0.14714
422, 422,  0.97918,  0.05, -0.19675
423, 423,  0.98788,  0.04936, -0.14714
424, 424,  0.99025,  0.09849, -0.09849
425, 425,  0.97512,  0.09988, -0.19791
426, 426,  0.97918,  0.05, -0.19675
427, 427,  0.98788,  0.04936, -0.14714
428, 428,  0.97512,  0.09988, -0.19791
429, 429,  0.99025,  0.09849, -0.09849
430, 430,  0.98788,  0.14714, -0.04936
431, 431,  0.97754,  0.14901, -0.14901
432, 432,  0.97754,  0.14901, -0.14901
433, 433,  0.98788,  0.14714, -0.04936
434, 434,  0.98079,  0.19509,  0.00
435, 435,  0.97754,  0.14901, -0.14901
436, 436,  0.98079,  0.19509,  0.00
437, 437,  0.95968,  0.19876, -0.19876
438, 438,  0.95968,  0.19876, -0.19876
439, 439,  0.96861,  0.14951, -0.19858
440, 440,  0.97754,  0.14901, -0.14901
441, 441,  0.97754,  0.14901, -0.14901
442, 442,  0.96861,  0.14951, -0.19858
443, 443,  0.97512,  0.09988, -0.19791
444, 444,  0.97754,  0.14901, -0.14901
445, 445,  0.97512,  0.09988, -0.19791
446, 446,  0.99025,  0.09849, -0.09849
447, 447,  0.95968,  0.19876, -0.19876
448, 448,  0.95743,  0.14989, -0.24669
449, 449,  0.96861,  0.14951, -0.19858
450, 450,  0.95743,  0.14989, -0.24669
451, 451,  0.95069,  0.10032, -0.29347
452, 452,  0.97512,  0.09988, -0.19791
453, 453,  0.96861,  0.14951, -0.19858
454, 454,  0.95743,  0.14989, -0.24669
455, 455,  0.97512,  0.09988, -0.19791
456, 456,  0.95069,  0.10032, -0.29347
457, 457,  0.93949,  0.05028, -0.33887
458, 458,  0.96824,  0.05029, -0.24491
459, 459,  0.96824,  0.05029, -0.24491
460, 460,  0.93949,  0.05028, -0.33887
461, 461,  0.92388,  0.00, -0.38268
462, 462,  0.96824,  0.05029, -0.24491
463, 463,  0.92388,  0.00, -0.38268
464, 464,  0.98079,  0.00, -0.19509
465, 465,  0.98079,  0.00, -0.19509
466, 466,  0.97918,  0.05, -0.19675
467, 467,  0.96824,  0.05029, -0.24491
468, 468,  0.96824,  0.05029, -0.24491
469, 469,  0.97918,  0.05, -0.19675
470, 470,  0.97512,  0.09988, -0.19791
471, 471,  0.96824,  0.05029, -0.24491
472, 472,  0.97512,  0.09988, -0.19791
473, 473,  0.95069,  0.10032, -0.29347
474, 474,  0.92388,  0.38268,  0.00
475, 475,  0.83147,  0.55557,  0.00
476, 476,  0.89032,  0.40462, -0.20885
477, 477,  0.83147,  0.55557,  0.00
478, 478,  0.70711,  0.70711,  0.00
479, 479,  0.78868,  0.57735, -0.21132
480, 480,  0.78868,  0.57735, -0.21132
481, 481,  0.89032,  0.40462, -0.20885
482, 482,  0.83147,  0.55557,  0.00
483, 483,  0.8165,  0.40825, -0.40825
484, 484,  0.89032,  0.40462, -0.20885
485, 485,  0.78868,  0.57735, -0.21132
486, 486,  0.89032,  0.20885, -0.40462
487, 487,  0.89898,  0.30971, -0.30971
488, 488,  0.85827,  0.31031, -0.40875
489, 489,  0.89898,  0.30971, -0.30971
490, 490,  0.89032,  0.40462, -0.20885
491, 491,  0.8165,  0.40825, -0.40825
492, 492,  0.85827,  0.31031, -0.40875
493, 493,  0.89898,  0.30971, -0.30971
494, 494,  0.8165,  0.40825, -0.40825
495, 495,  0.92388,  0.00, -0.38268
496, 496,  0.93949,  0.05028, -0.33887
497, 497,  0.91938,  0.05258, -0.38984
498, 498,  0.93949,  0.05028, -0.33887
499, 499,  0.95069,  0.10032, -0.29347
500, 500,  0.91227,  0.10502, -0.39589
501, 501,  0.91938,  0.05258, -0.38984
502, 502,  0.93949,  0.05028, -0.33887
503, 503,  0.91227,  0.10502, -0.39589
504, 504,  0.95069,  0.10032, -0.29347
505, 505,  0.95743,  0.14989, -0.24669
506, 506,  0.92372,  0.15512, -0.35026
507, 507,  0.92372,  0.15512, -0.35026
508, 508,  0.95743,  0.14989, -0.24669
509, 509,  0.95968,  0.19876, -0.19876
510, 510,  0.92372,  0.15512, -0.35026
511, 511,  0.95968,  0.19876, -0.19876
512, 512,  0.89032,  0.20885, -0.40462
513, 513,  0.89032,  0.20885, -0.40462
514, 514,  0.90258,  0.15716, -0.40082
515, 515,  0.92372,  0.15512, -0.35026
516, 516,  0.92372,  0.15512, -0.35026
517, 517,  0.90258,  0.15716, -0.40082
518, 518,  0.91227,  0.10502, -0.39589
519, 519,  0.92372,  0.15512, -0.35026
520, 520,  0.91227,  0.10502, -0.39589
521, 521,  0.95069,  0.10032, -0.29347
522, 522,  0.89032,  0.40462, -0.20885
523, 523,  0.89898,  0.30971, -0.30971
524, 524,  0.93052,  0.30349, -0.20502
525, 525,  0.89898,  0.30971, -0.30971
526, 526,  0.89032,  0.20885, -0.40462
527, 527,  0.95968,  0.19876, -0.19876
528, 528,  0.93052,  0.30349, -0.20502
529, 529,  0.89898,  0.30971, -0.30971
