VTX, IDX, _15.x, _15.y, _15.z, _18.x, _18.y, _18.z, _22.x, _22.y, _22.z, _22.w, _21.x, _21.y
379, 82,  0.10212,  0.16008, -0.03731, -0.06876,  0.95219, -0.29767, -0.05188,  0.29455,  0.95423, -1.00,  0.70947,  0.08118
380, 49,  0.10335,  0.18102,  0.01415, -0.09543,  0.9923,  0.07896,  0.02267, -0.07714,  0.99676, -1.00,  0.75684,  0.07806
381, 50,  0.02871,  0.15578, -0.03749, -0.05485,  0.96205, -0.26729, -0.04744,  0.26488,  0.96311, -1.00,  0.71045,  0.146
382, 49,  0.10335,  0.18102,  0.01415, -0.09543,  0.9923,  0.07896,  0.02267, -0.07714,  0.99676, -1.00,  0.75684,  0.07806
383, 82,  0.10212,  0.16008, -0.03731, -0.06876,  0.95219, -0.29767, -0.05188,  0.29455,  0.95423, -1.00,  0.70947,  0.08118
384, 77,  0.18179,  0.16759, -0.07702,  0.39865,  0.77308, -0.49338,  0.00806,  0.535,  0.84481, -1.00,  0.70996,  0.02824
385, 83,  0.16376,  0.12582, -0.15187,  0.02424,  0.79627, -0.60445,  0.00386,  0.60455,  0.79656, -1.00,  0.63672,  0.04105
386, 78,  0.16337,  0.16786, -0.0764,  0.00749,  0.85379, -0.52056,  0.01204,  0.52046,  0.8538, -1.00,  0.70898,  0.04105
387, 77,  0.18179,  0.16759, -0.07702,  0.39865,  0.77308, -0.49338,  0.00806,  0.535,  0.84481, -1.00,  0.70996,  0.02824
388, 81,  0.18229,  0.12477, -0.15153,  0.37052,  0.7173, -0.59008,  0.0102,  0.63212,  0.7748, -1.00,  0.6377,  0.02824
389, 83,  0.16376,  0.12582, -0.15187,  0.02424,  0.79627, -0.60445,  0.00386,  0.60455,  0.79656, -1.00,  0.63672,  0.04105
390, 84,  0.16279,  0.05169, -0.21847,  0.00366,  0.53469, -0.84504,  0.02518,  0.84473,  0.5346, -1.00,  0.55908,  0.04105
391, 83,  0.16376,  0.12582, -0.15187,  0.02424,  0.79627, -0.60445,  0.00386,  0.60455,  0.79656, -1.00,  0.63672,  0.04105
392, 81,  0.18229,  0.12477, -0.15153,  0.37052,  0.7173, -0.59008,  0.0102,  0.63212,  0.7748, -1.00,  0.6377,  0.02824
393, 78,  0.16337,  0.16786, -0.0764,  0.00749,  0.85379, -0.52056,  0.01204,  0.52046,  0.8538, -1.00,  0.70898,  0.04105
394, 83,  0.16376,  0.12582, -0.15187,  0.02424,  0.79627, -0.60445,  0.00386,  0.60455,  0.79656, -1.00,  0.63672,  0.04105
395, 85,  0.1121,  0.1289, -0.15097,  0.01293,  0.79219, -0.61014,  0.01285,  0.61001,  0.79229, -1.00,  0.63672,  0.08704
396, 78,  0.16337,  0.16786, -0.0764,  0.00749,  0.85379, -0.52056,  0.01204,  0.52046,  0.8538, -1.00,  0.70898,  0.04105
397, 85,  0.1121,  0.1289, -0.15097,  0.01293,  0.79219, -0.61014,  0.01285,  0.61001,  0.79229, -1.00,  0.63672,  0.08704
398, 82,  0.10212,  0.16008, -0.03731, -0.06876,  0.95219, -0.29767, -0.05188,  0.29455,  0.95423, -1.00,  0.70947,  0.08118
399, 85,  0.1121,  0.1289, -0.15097,  0.01293,  0.79219, -0.61014,  0.01285,  0.61001,  0.79229, -1.00,  0.63672,  0.08704
400, 83,  0.16376,  0.12582, -0.15187,  0.02424,  0.79627, -0.60445,  0.00386,  0.60455,  0.79656, -1.00,  0.63672,  0.04105
401, 84,  0.16279,  0.05169, -0.21847,  0.00366,  0.53469, -0.84504,  0.02518,  0.84473,  0.5346, -1.00,  0.55908,  0.04105
402, 79,  0.18139,  0.04782, -0.21095,  0.53853, -0.45459,  0.70946,  0.02375,  0.84984,  0.52651, -1.00,  0.56006,  0.02179
403, 86,  0.1811,  0.05104, -0.2195,  0.35196,  0.49991, -0.79134, -0.00869,  0.84714,  0.5313, -1.00,  0.56006,  0.02824
404, 81,  0.18229,  0.12477, -0.15153,  0.37052,  0.7173, -0.59008,  0.0102,  0.63212,  0.7748, -1.00,  0.6377,  0.02824
405, 84,  0.16279,  0.05169, -0.21847,  0.00366,  0.53469, -0.84504,  0.02518,  0.84473,  0.5346, -1.00,  0.55908,  0.04105
406, 81,  0.18229,  0.12477, -0.15153,  0.37052,  0.7173, -0.59008,  0.0102,  0.63212,  0.7748, -1.00,  0.6377,  0.02824
407, 86,  0.1811,  0.05104, -0.2195,  0.35196,  0.49991, -0.79134, -0.00869,  0.84714,  0.5313, -1.00,  0.56006,  0.02824
408, 80,  0.16638, -0.00672, -0.22969, -0.01178, -0.25613,  0.96657,  0.0253,  0.96625,  0.25635, -1.00,  0.51416,  0.01208
409, 87,  0.18019, -0.00868, -0.2292,  0.64423, -0.20484,  0.73689,  0.03492,  0.97034,  0.23921, -1.00,  0.51416,  0.02179
410, 79,  0.18139,  0.04782, -0.21095,  0.53853, -0.45459,  0.70946,  0.02375,  0.84984,  0.52651, -1.00,  0.56006,  0.02179
411, 87,  0.18019, -0.00868, -0.2292,  0.64423, -0.20484,  0.73689,  0.03492,  0.97034,  0.23921, -1.00,  0.51416,  0.02179
412, 86,  0.1811,  0.05104, -0.2195,  0.35196,  0.49991, -0.79134, -0.00869,  0.84714,  0.5313, -1.00,  0.56006,  0.02824
413, 79,  0.18139,  0.04782, -0.21095,  0.53853, -0.45459,  0.70946,  0.02375,  0.84984,  0.52651, -1.00,  0.56006,  0.02179
414, 88,  0.02757,  0.13355, -0.11993, -0.04095,  0.89879, -0.43647, -0.05221,  0.43431,  0.89925, -1.00,  0.63818,  0.15125
415, 50,  0.02871,  0.15578, -0.03749, -0.05485,  0.96205, -0.26729, -0.04744,  0.26488,  0.96311, -1.00,  0.71045,  0.146
416, 82,  0.10212,  0.16008, -0.03731, -0.06876,  0.95219, -0.29767, -0.05188,  0.29455,  0.95423, -1.00,  0.70947,  0.08118
417, 88,  0.02757,  0.13355, -0.11993, -0.04095,  0.89879, -0.43647, -0.05221,  0.43431,  0.89925, -1.00,  0.63818,  0.15125
418, 82,  0.10212,  0.16008, -0.03731, -0.06876,  0.95219, -0.29767, -0.05188,  0.29455,  0.95423, -1.00,  0.70947,  0.08118
419, 85,  0.1121,  0.1289, -0.15097,  0.01293,  0.79219, -0.61014,  0.01285,  0.61001,  0.79229, -1.00,  0.63672,  0.08704
420, 80,  0.16638, -0.00672, -0.22969, -0.01178, -0.25613,  0.96657,  0.0253,  0.96625,  0.25635, -1.00,  0.51416,  0.01208
421, 89,  0.17909, -0.03683, -0.2356,  0.8109,  0.02483,  0.58466, -0.11302,  0.98694,  0.11483, -1.00,  0.49438,  0.02179
422, 87,  0.18019, -0.00868, -0.2292,  0.64423, -0.20484,  0.73689,  0.03492,  0.97034,  0.23921, -1.00,  0.51416,  0.02179
423, 80,  0.16638, -0.00672, -0.22969, -0.01178, -0.25613,  0.96657,  0.0253,  0.96625,  0.25635, -1.00,  0.51416,  0.01208
424, 90,  0.1655, -0.03378, -0.2303,  0.19579,  0.1293,  0.97208, -0.02252,  0.9916, -0.12737, -1.00,  0.49438,  0.01208
425, 89,  0.17909, -0.03683, -0.2356,  0.8109,  0.02483,  0.58466, -0.11302,  0.98694,  0.11483, -1.00,  0.49438,  0.02179
426, 87,  0.18019, -0.00868, -0.2292,  0.64423, -0.20484,  0.73689,  0.03492,  0.97034,  0.23921, -1.00,  0.51416,  0.02179
427, 91,  0.17938, -0.00863, -0.23926,  0.35904,  0.24487, -0.90063,  0.02919,  0.96155,  0.27307, -1.00,  0.51416,  0.02824
428, 86,  0.1811,  0.05104, -0.2195,  0.35196,  0.49991, -0.79134, -0.00869,  0.84714,  0.5313, -1.00,  0.56006,  0.02824
429, 89,  0.17909, -0.03683, -0.2356,  0.8109,  0.02483,  0.58466, -0.11302,  0.98694,  0.11483, -1.00,  0.49438,  0.02179
430, 91,  0.17938, -0.00863, -0.23926,  0.35904,  0.24487, -0.90063,  0.02919,  0.96155,  0.27307, -1.00,  0.51416,  0.02824
431, 87,  0.18019, -0.00868, -0.2292,  0.64423, -0.20484,  0.73689,  0.03492,  0.97034,  0.23921, -1.00,  0.51416,  0.02179
432, 91,  0.17938, -0.00863, -0.23926,  0.35904,  0.24487, -0.90063,  0.02919,  0.96155,  0.27307, -1.00,  0.51416,  0.02824
433, 84,  0.16279,  0.05169, -0.21847,  0.00366,  0.53469, -0.84504,  0.02518,  0.84473,  0.5346, -1.00,  0.55908,  0.04105
434, 86,  0.1811,  0.05104, -0.2195,  0.35196,  0.49991, -0.79134, -0.00869,  0.84714,  0.5313, -1.00,  0.56006,  0.02824
435, 89,  0.17909, -0.03683, -0.2356,  0.8109,  0.02483,  0.58466, -0.11302,  0.98694,  0.11483, -1.00,  0.49438,  0.02179
436, 92,  0.17802, -0.03837, -0.24609,  0.2777, -0.19219, -0.94125,  0.15323,  0.9761, -0.1541, -1.00,  0.49438,  0.02824
437, 91,  0.17938, -0.00863, -0.23926,  0.35904,  0.24487, -0.90063,  0.02919,  0.96155,  0.27307, -1.00,  0.51416,  0.02824
438, 93,  0.16041, -0.03645, -0.24266, -0.15747, -0.26752, -0.9506, -0.04712,  0.96355, -0.26336, -1.00,  0.49438,  0.04105
439, 91,  0.17938, -0.00863, -0.23926,  0.35904,  0.24487, -0.90063,  0.02919,  0.96155,  0.27307, -1.00,  0.51416,  0.02824
440, 92,  0.17802, -0.03837, -0.24609,  0.2777, -0.19219, -0.94125,  0.15323,  0.9761, -0.1541, -1.00,  0.49438,  0.02824
441, 93,  0.16041, -0.03645, -0.24266, -0.15747, -0.26752, -0.9506, -0.04712,  0.96355, -0.26336, -1.00,  0.49438,  0.04105
442, 94,  0.16118, -0.00771, -0.23746, -0.03955,  0.26085, -0.96457,  0.0337,  0.96512,  0.25962, -1.00,  0.51416,  0.04105
443, 91,  0.17938, -0.00863, -0.23926,  0.35904,  0.24487, -0.90063,  0.02919,  0.96155,  0.27307, -1.00,  0.51416,  0.02824
444, 91,  0.17938, -0.00863, -0.23926,  0.35904,  0.24487, -0.90063,  0.02919,  0.96155,  0.27307, -1.00,  0.51416,  0.02824
445, 94,  0.16118, -0.00771, -0.23746, -0.03955,  0.26085, -0.96457,  0.0337,  0.96512,  0.25962, -1.00,  0.51416,  0.04105
446, 84,  0.16279,  0.05169, -0.21847,  0.00366,  0.53469, -0.84504,  0.02518,  0.84473,  0.5346, -1.00,  0.55908,  0.04105
447, 95,  0.08978, -0.0278, -0.23619, -0.12505, -0.29526, -0.9472,  0.04567,  0.95197, -0.30278, -1.00,  0.49414,  0.09882
448, 94,  0.16118, -0.00771, -0.23746, -0.03955,  0.26085, -0.96457,  0.0337,  0.96512,  0.25962, -1.00,  0.51416,  0.04105
449, 93,  0.16041, -0.03645, -0.24266, -0.15747, -0.26752, -0.9506, -0.04712,  0.96355, -0.26336, -1.00,  0.49438,  0.04105
450, 95,  0.08978, -0.0278, -0.23619, -0.12505, -0.29526, -0.9472,  0.04567,  0.95197, -0.30278, -1.00,  0.49414,  0.09882
451, 96,  0.09342, -0.00087, -0.23567, -0.03301,  0.22977, -0.97269,  0.07494,  0.97105,  0.22684, -1.00,  0.51465,  0.09778
452, 94,  0.16118, -0.00771, -0.23746, -0.03955,  0.26085, -0.96457,  0.0337,  0.96512,  0.25962, -1.00,  0.51416,  0.04105
453, 94,  0.16118, -0.00771, -0.23746, -0.03955,  0.26085, -0.96457,  0.0337,  0.96512,  0.25962, -1.00,  0.51416,  0.04105
454, 96,  0.09342, -0.00087, -0.23567, -0.03301,  0.22977, -0.97269,  0.07494,  0.97105,  0.22684, -1.00,  0.51465,  0.09778
455, 84,  0.16279,  0.05169, -0.21847,  0.00366,  0.53469, -0.84504,  0.02518,  0.84473,  0.5346, -1.00,  0.55908,  0.04105
456, 96,  0.09342, -0.00087, -0.23567, -0.03301,  0.22977, -0.97269,  0.07494,  0.97105,  0.22684, -1.00,  0.51465,  0.09778
457, 95,  0.08978, -0.0278, -0.23619, -0.12505, -0.29526, -0.9472,  0.04567,  0.95197, -0.30278, -1.00,  0.49414,  0.09882
458, 97,  0.0218,  0.00269, -0.2333, -0.10316, -0.11851, -0.98758, -0.01094,  0.99295, -0.11801, -1.00,  0.49414,  0.16052
459, 98,  0.10133,  0.05654, -0.21606, -0.00599,  0.55136, -0.83425,  0.04592,  0.83354,  0.55055, -1.00,  0.55957,  0.09399
460, 85,  0.1121,  0.1289, -0.15097,  0.01293,  0.79219, -0.61014,  0.01285,  0.61001,  0.79229, -1.00,  0.63672,  0.08704
461, 84,  0.16279,  0.05169, -0.21847,  0.00366,  0.53469, -0.84504,  0.02518,  0.84473,  0.5346, -1.00,  0.55908,  0.04105
462, 96,  0.09342, -0.00087, -0.23567, -0.03301,  0.22977, -0.97269,  0.07494,  0.97105,  0.22684, -1.00,  0.51465,  0.09778
463, 98,  0.10133,  0.05654, -0.21606, -0.00599,  0.55136, -0.83425,  0.04592,  0.83354,  0.55055, -1.00,  0.55957,  0.09399
464, 84,  0.16279,  0.05169, -0.21847,  0.00366,  0.53469, -0.84504,  0.02518,  0.84473,  0.5346, -1.00,  0.55908,  0.04105
465, 96,  0.09342, -0.00087, -0.23567, -0.03301,  0.22977, -0.97269,  0.07494,  0.97105,  0.22684, -1.00,  0.51465,  0.09778
466, 97,  0.0218,  0.00269, -0.2333, -0.10316, -0.11851, -0.98758, -0.01094,  0.99295, -0.11801, -1.00,  0.49414,  0.16052
467, 99,  0.0229,  0.02891, -0.2299, -0.05617,  0.4111, -0.90986,  0.00115,  0.91132,  0.41169, -1.00,  0.51465,  0.15991
468, 98,  0.10133,  0.05654, -0.21606, -0.00599,  0.55136, -0.83425,  0.04592,  0.83354,  0.55055, -1.00,  0.55957,  0.09399
469, 96,  0.09342, -0.00087, -0.23567, -0.03301,  0.22977, -0.97269,  0.07494,  0.97105,  0.22684, -1.00,  0.51465,  0.09778
470, 99,  0.0229,  0.02891, -0.2299, -0.05617,  0.4111, -0.90986,  0.00115,  0.91132,  0.41169, -1.00,  0.51465,  0.15991
471, 99,  0.0229,  0.02891, -0.2299, -0.05617,  0.4111, -0.90986,  0.00115,  0.91132,  0.41169, -1.00,  0.51465,  0.15991
472, 97,  0.0218,  0.00269, -0.2333, -0.10316, -0.11851, -0.98758, -0.01094,  0.99295, -0.11801, -1.00,  0.49414,  0.16052
473, 100, -0.05206,  0.00442, -0.221, -0.16222, -0.22315, -0.96119, -0.02626,  0.97472, -0.22186, -1.00,  0.49414,  0.22449
474, 101,  0.02483,  0.07849, -0.19734, -0.0412,  0.72108, -0.69163, -0.03212,  0.6909,  0.72224, -1.00,  0.56055,  0.15723
475, 85,  0.1121,  0.1289, -0.15097,  0.01293,  0.79219, -0.61014,  0.01285,  0.61001,  0.79229, -1.00,  0.63672,  0.08704
476, 98,  0.10133,  0.05654, -0.21606, -0.00599,  0.55136, -0.83425,  0.04592,  0.83354,  0.55055, -1.00,  0.55957,  0.09399
477, 98,  0.10133,  0.05654, -0.21606, -0.00599,  0.55136, -0.83425,  0.04592,  0.83354,  0.55055, -1.00,  0.55957,  0.09399
478, 99,  0.0229,  0.02891, -0.2299, -0.05617,  0.4111, -0.90986,  0.00115,  0.91132,  0.41169, -1.00,  0.51465,  0.15991
479, 101,  0.02483,  0.07849, -0.19734, -0.0412,  0.72108, -0.69163, -0.03212,  0.6909,  0.72224, -1.00,  0.56055,  0.15723
480, 101,  0.02483,  0.07849, -0.19734, -0.0412,  0.72108, -0.69163, -0.03212,  0.6909,  0.72224, -1.00,  0.56055,  0.15723
481, 88,  0.02757,  0.13355, -0.11993, -0.04095,  0.89879, -0.43647, -0.05221,  0.43431,  0.89925, -1.00,  0.63818,  0.15125
482, 85,  0.1121,  0.1289, -0.15097,  0.01293,  0.79219, -0.61014,  0.01285,  0.61001,  0.79229, -1.00,  0.63672,  0.08704
483, 99,  0.0229,  0.02891, -0.2299, -0.05617,  0.4111, -0.90986,  0.00115,  0.91132,  0.41169, -1.00,  0.51465,  0.15991
484, 100, -0.05206,  0.00442, -0.221, -0.16222, -0.22315, -0.96119, -0.02626,  0.97472, -0.22186, -1.00,  0.49414,  0.22449
485, 102, -0.05178,  0.02947, -0.22441, -0.0987,  0.29565, -0.95018, -0.00102,  0.95482,  0.2972, -1.00,  0.51514,  0.22412
486, 101,  0.02483,  0.07849, -0.19734, -0.0412,  0.72108, -0.69163, -0.03212,  0.6909,  0.72224, -1.00,  0.56055,  0.15723
487, 99,  0.0229,  0.02891, -0.2299, -0.05617,  0.4111, -0.90986,  0.00115,  0.91132,  0.41169, -1.00,  0.51465,  0.15991
488, 102, -0.05178,  0.02947, -0.22441, -0.0987,  0.29565, -0.95018, -0.00102,  0.95482,  0.2972, -1.00,  0.51514,  0.22412
489, 102, -0.05178,  0.02947, -0.22441, -0.0987,  0.29565, -0.95018, -0.00102,  0.95482,  0.2972, -1.00,  0.51514,  0.22412
490, 100, -0.05206,  0.00442, -0.221, -0.16222, -0.22315, -0.96119, -0.02626,  0.97472, -0.22186, -1.00,  0.49414,  0.22449
491, 103, -0.12823,  0.02066, -0.20111, -0.21744, -0.19918, -0.95554, -0.00966,  0.97935, -0.20194, -1.00,  0.49414,  0.28931
492, 104, -0.04998,  0.07905, -0.19422, -0.0533,  0.74666, -0.66306, -0.0241,  0.66285,  0.74836, -1.00,  0.56055,  0.22192
493, 88,  0.02757,  0.13355, -0.11993, -0.04095,  0.89879, -0.43647, -0.05221,  0.43431,  0.89925, -1.00,  0.63818,  0.15125
494, 101,  0.02483,  0.07849, -0.19734, -0.0412,  0.72108, -0.69163, -0.03212,  0.6909,  0.72224, -1.00,  0.56055,  0.15723
495, 101,  0.02483,  0.07849, -0.19734, -0.0412,  0.72108, -0.69163, -0.03212,  0.6909,  0.72224, -1.00,  0.56055,  0.15723
496, 102, -0.05178,  0.02947, -0.22441, -0.0987,  0.29565, -0.95018, -0.00102,  0.95482,  0.2972, -1.00,  0.51514,  0.22412
497, 104, -0.04998,  0.07905, -0.19422, -0.0533,  0.74666, -0.66306, -0.0241,  0.66285,  0.74836, -1.00,  0.56055,  0.22192
498, 102, -0.05178,  0.02947, -0.22441, -0.0987,  0.29565, -0.95018, -0.00102,  0.95482,  0.2972, -1.00,  0.51514,  0.22412
499, 103, -0.12823,  0.02066, -0.20111, -0.21744, -0.19918, -0.95554, -0.00966,  0.97935, -0.20194, -1.00,  0.49414,  0.28931
500, 105, -0.12975,  0.04371, -0.21083, -0.17556,  0.10664, -0.97868, -0.00358,  0.99404,  0.10896, -1.00,  0.51563,  0.28955
501, 105, -0.12975,  0.04371, -0.21083, -0.17556,  0.10664, -0.97868, -0.00358,  0.99404,  0.10896, -1.00,  0.51563,  0.28955
502, 103, -0.12823,  0.02066, -0.20111, -0.21744, -0.19918, -0.95554, -0.00966,  0.97935, -0.20194, -1.00,  0.49414,  0.28931
503, 106, -0.17623,  0.02415, -0.18741, -0.13404, -0.23378, -0.96301, -0.03594,  0.97228, -0.23103, -1.00,  0.49414,  0.3335
504, 104, -0.04998,  0.07905, -0.19422, -0.0533,  0.74666, -0.66306, -0.0241,  0.66285,  0.74836, -1.00,  0.56055,  0.22192
505, 107, -0.04701,  0.13137, -0.11746, -0.05785,  0.90168, -0.42851, -0.04447,  0.42647,  0.90341, -1.00,  0.63916,  0.21619
506, 88,  0.02757,  0.13355, -0.11993, -0.04095,  0.89879, -0.43647, -0.05221,  0.43431,  0.89925, -1.00,  0.63818,  0.15125
507, 107, -0.04701,  0.13137, -0.11746, -0.05785,  0.90168, -0.42851, -0.04447,  0.42647,  0.90341, -1.00,  0.63916,  0.21619
508, 50,  0.02871,  0.15578, -0.03749, -0.05485,  0.96205, -0.26729, -0.04744,  0.26488,  0.96311, -1.00,  0.71045,  0.146
509, 88,  0.02757,  0.13355, -0.11993, -0.04095,  0.89879, -0.43647, -0.05221,  0.43431,  0.89925, -1.00,  0.63818,  0.15125
510, 107, -0.04701,  0.13137, -0.11746, -0.05785,  0.90168, -0.42851, -0.04447,  0.42647,  0.90341, -1.00,  0.63916,  0.21619
511, 46, -0.04556,  0.15451, -0.03804, -0.07484,  0.96994, -0.23157, -0.03739,  0.22932,  0.97263, -1.00,  0.71094,  0.21143
512, 50,  0.02871,  0.15578, -0.03749, -0.05485,  0.96205, -0.26729, -0.04744,  0.26488,  0.96311, -1.00,  0.71045,  0.146
513, 104, -0.04998,  0.07905, -0.19422, -0.0533,  0.74666, -0.66306, -0.0241,  0.66285,  0.74836, -1.00,  0.56055,  0.22192
514, 102, -0.05178,  0.02947, -0.22441, -0.0987,  0.29565, -0.95018, -0.00102,  0.95482,  0.2972, -1.00,  0.51514,  0.22412
515, 108, -0.12632,  0.08855, -0.18544, -0.07998,  0.80965, -0.58144,  0.01946,  0.58447,  0.81118, -1.00,  0.56104,  0.2876
516, 102, -0.05178,  0.02947, -0.22441, -0.0987,  0.29565, -0.95018, -0.00102,  0.95482,  0.2972, -1.00,  0.51514,  0.22412
517, 105, -0.12975,  0.04371, -0.21083, -0.17556,  0.10664, -0.97868, -0.00358,  0.99404,  0.10896, -1.00,  0.51563,  0.28955
518, 108, -0.12632,  0.08855, -0.18544, -0.07998,  0.80965, -0.58144,  0.01946,  0.58447,  0.81118, -1.00,  0.56104,  0.2876
519, 108, -0.12632,  0.08855, -0.18544, -0.07998,  0.80965, -0.58144,  0.01946,  0.58447,  0.81118, -1.00,  0.56104,  0.2876
520, 107, -0.04701,  0.13137, -0.11746, -0.05785,  0.90168, -0.42851, -0.04447,  0.42647,  0.90341, -1.00,  0.63916,  0.21619
521, 104, -0.04998,  0.07905, -0.19422, -0.0533,  0.74666, -0.66306, -0.0241,  0.66285,  0.74836, -1.00,  0.56055,  0.22192
522, 105, -0.12975,  0.04371, -0.21083, -0.17556,  0.10664, -0.97868, -0.00358,  0.99404,  0.10896, -1.00,  0.51563,  0.28955
523, 106, -0.17623,  0.02415, -0.18741, -0.13404, -0.23378, -0.96301, -0.03594,  0.97228, -0.23103, -1.00,  0.49414,  0.3335
524, 109, -0.17786,  0.04921, -0.19713, -0.06176,  0.07182, -0.9955, -0.03519,  0.99663,  0.07409, -1.00,  0.51904,  0.33374
525, 108, -0.12632,  0.08855, -0.18544, -0.07998,  0.80965, -0.58144,  0.01946,  0.58447,  0.81118, -1.00,  0.56104,  0.2876
526, 105, -0.12975,  0.04371, -0.21083, -0.17556,  0.10664, -0.97868, -0.00358,  0.99404,  0.10896, -1.00,  0.51563,  0.28955
527, 109, -0.17786,  0.04921, -0.19713, -0.06176,  0.07182, -0.9955, -0.03519,  0.99663,  0.07409, -1.00,  0.51904,  0.33374
528, 110, -0.18586,  0.02476, -0.18584,  0.18123, -0.16111, -0.97015, -0.06782,  0.98209, -0.17576, -1.00,  0.49438,  0.34229
529, 109, -0.17786,  0.04921, -0.19713, -0.06176,  0.07182, -0.9955, -0.03519,  0.99663,  0.07409, -1.00,  0.51904,  0.33374
530, 106, -0.17623,  0.02415, -0.18741, -0.13404, -0.23378, -0.96301, -0.03594,  0.97228, -0.23103, -1.00,  0.49414,  0.3335
531, 111, -0.12018,  0.13189, -0.10713, -0.07302,  0.93094, -0.35779, -0.00971,  0.35807,  0.93365, -1.00,  0.63965,  0.28174
532, 46, -0.04556,  0.15451, -0.03804, -0.07484,  0.96994, -0.23157, -0.03739,  0.22932,  0.97263, -1.00,  0.71094,  0.21143
533, 107, -0.04701,  0.13137, -0.11746, -0.05785,  0.90168, -0.42851, -0.04447,  0.42647,  0.90341, -1.00,  0.63916,  0.21619
534, 108, -0.12632,  0.08855, -0.18544, -0.07998,  0.80965, -0.58144,  0.01946,  0.58447,  0.81118, -1.00,  0.56104,  0.2876
535, 111, -0.12018,  0.13189, -0.10713, -0.07302,  0.93094, -0.35779, -0.00971,  0.35807,  0.93365, -1.00,  0.63965,  0.28174
536, 107, -0.04701,  0.13137, -0.11746, -0.05785,  0.90168, -0.42851, -0.04447,  0.42647,  0.90341, -1.00,  0.63916,  0.21619
537, 111, -0.12018,  0.13189, -0.10713, -0.07302,  0.93094, -0.35779, -0.00971,  0.35807,  0.93365, -1.00,  0.63965,  0.28174
538, 40, -0.1161,  0.14924, -0.02754, -0.08197,  0.9859, -0.14588, -0.00087,  0.1463,  0.98924, -1.00,  0.71143,  0.27759
539, 46, -0.04556,  0.15451, -0.03804, -0.07484,  0.96994, -0.23157, -0.03739,  0.22932,  0.97263, -1.00,  0.71094,  0.21143
540, 109, -0.17786,  0.04921, -0.19713, -0.06176,  0.07182, -0.9955, -0.03519,  0.99663,  0.07409, -1.00,  0.51904,  0.33374
541, 112, -0.17537,  0.08616, -0.17682, -0.05761,  0.84243, -0.53571, -0.01194,  0.53599,  0.84414, -1.00,  0.56689,  0.33057
542, 108, -0.12632,  0.08855, -0.18544, -0.07998,  0.80965, -0.58144,  0.01946,  0.58447,  0.81118, -1.00,  0.56104,  0.2876
543, 112, -0.17537,  0.08616, -0.17682, -0.05761,  0.84243, -0.53571, -0.01194,  0.53599,  0.84414, -1.00,  0.56689,  0.33057
544, 111, -0.12018,  0.13189, -0.10713, -0.07302,  0.93094, -0.35779, -0.00971,  0.35807,  0.93365, -1.00,  0.63965,  0.28174
545, 108, -0.12632,  0.08855, -0.18544, -0.07998,  0.80965, -0.58144,  0.01946,  0.58447,  0.81118, -1.00,  0.56104,  0.2876
546, 113, -0.17114,  0.1286, -0.10416, -0.11825,  0.93779, -0.32644, -0.01187,  0.32739,  0.94482, -1.00,  0.6416,  0.3252
547, 40, -0.1161,  0.14924, -0.02754, -0.08197,  0.9859, -0.14588, -0.00087,  0.1463,  0.98924, -1.00,  0.71143,  0.27759
548, 111, -0.12018,  0.13189, -0.10713, -0.07302,  0.93094, -0.35779, -0.00971,  0.35807,  0.93365, -1.00,  0.63965,  0.28174
549, 112, -0.17537,  0.08616, -0.17682, -0.05761,  0.84243, -0.53571, -0.01194,  0.53599,  0.84414, -1.00,  0.56689,  0.33057
550, 113, -0.17114,  0.1286, -0.10416, -0.11825,  0.93779, -0.32644, -0.01187,  0.32739,  0.94482, -1.00,  0.6416,  0.3252
551, 111, -0.12018,  0.13189, -0.10713, -0.07302,  0.93094, -0.35779, -0.00971,  0.35807,  0.93365, -1.00,  0.63965,  0.28174
552, 113, -0.17114,  0.1286, -0.10416, -0.11825,  0.93779, -0.32644, -0.01187,  0.32739,  0.94482, -1.00,  0.6416,  0.3252
553, 42, -0.16762,  0.14393, -0.02502, -0.11491,  0.98638, -0.11765,  0.00441,  0.11894,  0.99289, -1.00,  0.71289,  0.32202
554, 40, -0.1161,  0.14924, -0.02754, -0.08197,  0.9859, -0.14588, -0.00087,  0.1463,  0.98924, -1.00,  0.71143,  0.27759
555, 114, -0.22364,  0.12266, -0.09435, -0.03005,  0.97925, -0.20043,  0.03401,  0.2014,  0.97892, -1.00,  0.64404,  0.37476
556, 42, -0.16762,  0.14393, -0.02502, -0.11491,  0.98638, -0.11765,  0.00441,  0.11894,  0.99289, -1.00,  0.71289,  0.32202
557, 113, -0.17114,  0.1286, -0.10416, -0.11825,  0.93779, -0.32644, -0.01187,  0.32739,  0.94482, -1.00,  0.6416,  0.3252
558, 114, -0.22364,  0.12266, -0.09435, -0.03005,  0.97925, -0.20043,  0.03401,  0.2014,  0.97892, -1.00,  0.64404,  0.37476
559, 113, -0.17114,  0.1286, -0.10416, -0.11825,  0.93779, -0.32644, -0.01187,  0.32739,  0.94482, -1.00,  0.6416,  0.3252
560, 112, -0.17537,  0.08616, -0.17682, -0.05761,  0.84243, -0.53571, -0.01194,  0.53599,  0.84414, -1.00,  0.56689,  0.33057
561, 115, -0.24433,  0.10172, -0.16177,  0.15838,  0.94018, -0.30163,  0.00496,  0.30472,  0.95243, -1.00,  0.58008,  0.3916
