VTX, IDX, _15.x, _15.y, _15.z, _18.x, _18.y, _18.z, _22.x, _22.y, _22.z, _22.w, _21.x, _21.y
1993, 412, -0.18235,  0.21169, -0.21909,  0.73802, -0.57861, -0.3472,  0.39081, -0.05295,  0.91895, -1.00,  0.68994,  0.63818
1994, 413, -0.1701,  0.22101, -0.22217,  0.86195, -0.12147, -0.49223,  0.48899, -0.05723,  0.87041, -1.00,  0.68994,  0.6543
1995, 413, -0.1701,  0.22101, -0.22217,  0.86195, -0.12147, -0.49223,  0.48899, -0.05723,  0.87041, -1.00,  0.68994,  0.6543
1996, 412, -0.18235,  0.21169, -0.21909,  0.73802, -0.57861, -0.3472,  0.39081, -0.05295,  0.91895, -1.00,  0.68994,  0.63818
1997, 414, -0.1896,  0.20289, -0.25669,  0.85221, -0.39685,  0.34095, -0.07542,  0.55167,  0.83065, -1.00,  0.6499,  0.63818
1998, 408, -0.11695,  0.16304, -0.16809, -0.10078,  0.22989, -0.96798,  0.49842, -0.83038, -0.2491, -1.00,  0.80371,  0.6543
1999, 411, -0.14561,  0.20862, -0.16891,  0.5331,  0.12802, -0.83631,  0.70537, -0.61309,  0.35577, -1.00,  0.75098,  0.6543
2000, 415, -0.14721,  0.21231, -0.16286, -0.07781,  0.67931,  0.72971,  0.57652, -0.56648,  0.58883, -1.00,  0.75098,  0.66113
2001, 415, -0.14721,  0.21231, -0.16286, -0.07781,  0.67931,  0.72971,  0.57652, -0.56648,  0.58883, -1.00,  0.75098,  0.66113
2002, 411, -0.14561,  0.20862, -0.16891,  0.5331,  0.12802, -0.83631,  0.70537, -0.61309,  0.35577, -1.00,  0.75098,  0.6543
2003, 413, -0.1701,  0.22101, -0.22217,  0.86195, -0.12147, -0.49223,  0.48899, -0.05723,  0.87041, -1.00,  0.68994,  0.6543
2004, 410, -0.09095,  0.11806, -0.18032,  0.79129, -0.01548,  0.61124,  0.32547, -0.83563, -0.4425, -1.00,  0.85303,  0.66113
2005, 408, -0.11695,  0.16304, -0.16809, -0.10078,  0.22989, -0.96798,  0.49842, -0.83038, -0.2491, -1.00,  0.80371,  0.6543
2006, 416, -0.11463,  0.16287, -0.16145,  0.55492,  0.29015,  0.77966,  0.56468, -0.8196, -0.0969, -1.00,  0.80371,  0.66113
2007, 408, -0.11695,  0.16304, -0.16809, -0.10078,  0.22989, -0.96798,  0.49842, -0.83038, -0.2491, -1.00,  0.80371,  0.6543
2008, 415, -0.14721,  0.21231, -0.16286, -0.07781,  0.67931,  0.72971,  0.57652, -0.56648,  0.58883, -1.00,  0.75098,  0.66113
2009, 416, -0.11463,  0.16287, -0.16145,  0.55492,  0.29015,  0.77966,  0.56468, -0.8196, -0.0969, -1.00,  0.80371,  0.66113
2010, 413, -0.1701,  0.22101, -0.22217,  0.86195, -0.12147, -0.49223,  0.48899, -0.05723,  0.87041, -1.00,  0.68994,  0.6543
2011, 414, -0.1896,  0.20289, -0.25669,  0.85221, -0.39685,  0.34095, -0.07542,  0.55167,  0.83065, -1.00,  0.6499,  0.63818
2012, 417, -0.17702,  0.21036, -0.26224,  0.98707,  0.13752,  0.08229, -0.14934,  0.60308,  0.78358, -1.00,  0.6499,  0.6543
2013, 417, -0.17702,  0.21036, -0.26224,  0.98707,  0.13752,  0.08229, -0.14934,  0.60308,  0.78358, -1.00,  0.6499,  0.6543
2014, 414, -0.1896,  0.20289, -0.25669,  0.85221, -0.39685,  0.34095, -0.07542,  0.55167,  0.83065, -1.00,  0.6499,  0.63818
2015, 418, -0.17509,  0.17422, -0.27312,  0.45522,  0.27114,  0.84809, -0.58518,  0.809,  0.05546, -1.00,  0.6123,  0.63818
2016, 419, -0.13053,  0.15135, -0.15784,  0.38738,  0.14188,  0.91094,  0.5371, -0.83782, -0.09791, -1.00,  0.8042,  0.68066
2017, 410, -0.09095,  0.11806, -0.18032,  0.79129, -0.01548,  0.61124,  0.32547, -0.83563, -0.4425, -1.00,  0.85303,  0.66113
2018, 416, -0.11463,  0.16287, -0.16145,  0.55492,  0.29015,  0.77966,  0.56468, -0.8196, -0.0969, -1.00,  0.80371,  0.66113
2019, 419, -0.13053,  0.15135, -0.15784,  0.38738,  0.14188,  0.91094,  0.5371, -0.83782, -0.09791, -1.00,  0.8042,  0.68066
2020, 420, -0.1075,  0.10838, -0.17558,  0.69507, -0.13837,  0.7055,  0.32285, -0.81673, -0.47826, -1.00,  0.85303,  0.68066
2021, 410, -0.09095,  0.11806, -0.18032,  0.79129, -0.01548,  0.61124,  0.32547, -0.83563, -0.4425, -1.00,  0.85303,  0.66113
2022, 421, -0.14384,  0.08159, -0.16276,  0.68349, -0.10139,  0.72289,  0.34636, -0.82669, -0.44343, -1.00,  0.85303,  0.72363
2023, 420, -0.1075,  0.10838, -0.17558,  0.69507, -0.13837,  0.7055,  0.32285, -0.81673, -0.47826, -1.00,  0.85303,  0.68066
