VTX, IDX, Vertex_Position.x, Vertex_Position.y, Vertex_Position.z, Vertex_UV.x, Vertex_UV.y
647, 152,  907.98102,  1782.01306,  0.00,  0.72949,  0.06427
648, 155,  618.034,  1902.11304,  0.00,  0.65625,  0.03494
649, 158,  312.86896,  1975.37671,  0.00,  0.5791,  0.01703
650, 156,  587.78564,  1902.11304, -190.98314,  0.64844,  0.02243
651, 158,  312.86896,  1975.37671,  0.00,  0.5791,  0.01703
652, 159,  297.55624,  1975.37671, -96.68188,  0.5752,  0.0107
653, 156,  587.78564,  1902.11304, -190.98314,  0.64844,  0.02243
654, 158,  312.86896,  1975.37671,  0.00,  0.5791,  0.01703
655, 160,  0.00,  2000.00,  0.00,  0.50,  0.01102
656, 159,  297.55624,  1975.37671, -96.68188,  0.5752,  0.0107
657, 161,  297.55606,  1975.37671,  96.68182,  0.5752,  0.02336
658, 158,  312.86896,  1975.37671,  0.00,  0.5791,  0.01703
659, 155,  618.034,  1902.11304,  0.00,  0.65625,  0.03494
660, 161,  297.55606,  1975.37671,  96.68182,  0.5752,  0.02336
661, 162,  0.00,  2000.00,  0.00,  0.50,  0.01102
662, 158,  312.86896,  1975.37671,  0.00,  0.5791,  0.01703
663, 157,  587.78528,  1902.11304,  190.98302,  0.64844,  0.04745
664, 161,  297.55606,  1975.37671,  96.68182,  0.5752,  0.02336
665, 155,  618.034,  1902.11304,  0.00,  0.65625,  0.03494
666, 163,  253.1163,  1975.37671,  183.89978,  0.56396,  0.02908
667, 164,  0.00,  2000.00,  0.00,  0.50,  0.01102
668, 161,  297.55606,  1975.37671,  96.68182,  0.5752,  0.02336
669, 163,  253.1163,  1975.37671,  183.89978,  0.56396,  0.02908
670, 161,  297.55606,  1975.37671,  96.68182,  0.5752,  0.02336
671, 157,  587.78528,  1902.11304,  190.98302,  0.64844,  0.04745
672, 165,  500.00,  1902.11304,  363.2713,  0.62646,  0.05875
673, 163,  253.1163,  1975.37671,  183.89978,  0.56396,  0.02908
674, 157,  587.78528,  1902.11304,  190.98302,  0.64844,  0.04745
675, 165,  500.00,  1902.11304,  363.2713,  0.62646,  0.05875
676, 157,  587.78528,  1902.11304,  190.98302,  0.64844,  0.04745
677, 154,  863.54132,  1782.01306,  280.5816,  0.71826,  0.08264
678, 166,  183.89977,  1975.37671,  253.1163,  0.54639,  0.0336
679, 167,  0.00,  2000.00,  0.00,  0.50,  0.01102
680, 163,  253.1163,  1975.37671,  183.89978,  0.56396,  0.02908
681, 166,  183.89977,  1975.37671,  253.1163,  0.54639,  0.0336
682, 163,  253.1163,  1975.37671,  183.89978,  0.56396,  0.02908
683, 165,  500.00,  1902.11304,  363.2713,  0.62646,  0.05875
684, 168,  734.57208,  1782.01306,  533.69788,  0.68555,  0.09924
685, 165,  500.00,  1902.11304,  363.2713,  0.62646,  0.05875
686, 154,  863.54132,  1782.01306,  280.5816,  0.71826,  0.08264
687, 168,  734.57208,  1782.01306,  533.69788,  0.68555,  0.09924
688, 154,  863.54132,  1782.01306,  280.5816,  0.71826,  0.08264
689, 151,  1118.03406,  1618.03406,  363.27127,  0.78271,  0.12817
690, 169,  363.27127,  1902.11304,  500.00006,  0.5918,  0.06769
691, 166,  183.89977,  1975.37671,  253.1163,  0.54639,  0.0336
692, 165,  500.00,  1902.11304,  363.2713,  0.62646,  0.05875
693, 169,  363.27127,  1902.11304,  500.00006,  0.5918,  0.06769
694, 165,  500.00,  1902.11304,  363.2713,  0.62646,  0.05875
695, 168,  734.57208,  1782.01306,  533.69788,  0.68555,  0.09924
696, 170,  96.68182,  1975.37671,  297.55606,  0.52441,  0.03653
697, 171,  0.00,  2000.00,  0.00,  0.50,  0.01102
698, 166,  183.89977,  1975.37671,  253.1163,  0.54639,  0.0336
699, 170,  96.68182,  1975.37671,  297.55606,  0.52441,  0.03653
700, 166,  183.89977,  1975.37671,  253.1163,  0.54639,  0.0336
701, 169,  363.27127,  1902.11304,  500.00006,  0.5918,  0.06769
702, 172,  951.05652,  1618.03406,  690.98303,  0.74072,  0.14966
703, 168,  734.57208,  1782.01306,  533.69788,  0.68555,  0.09924
704, 151,  1118.03406,  1618.03406,  363.27127,  0.78271,  0.12817
705, 172,  951.05652,  1618.03406,  690.98303,  0.74072,  0.14966
706, 151,  1118.03406,  1618.03406,  363.27127,  0.78271,  0.12817
707, 148,  1344.99707,  1414.2135,  437.01605,  0.84033,  0.18286
708, 173,  533.69781,  1782.01306,  734.57214,  0.63477,  0.11243
709, 169,  363.27127,  1902.11304,  500.00006,  0.5918,  0.06769
710, 168,  734.57208,  1782.01306,  533.69788,  0.68555,  0.09924
711, 173,  533.69781,  1782.01306,  734.57214,  0.63477,  0.11243
712, 168,  734.57208,  1782.01306,  533.69788,  0.68555,  0.09924
713, 172,  951.05652,  1618.03406,  690.98303,  0.74072,  0.14966
714, 174,  190.983,  1902.11304,  587.78528,  0.54834,  0.07343
715, 170,  96.68182,  1975.37671,  297.55606,  0.52441,  0.03653
716, 169,  363.27127,  1902.11304,  500.00006,  0.5918,  0.06769
717, 174,  190.983,  1902.11304,  587.78528,  0.54834,  0.07343
718, 169,  363.27127,  1902.11304,  500.00006,  0.5918,  0.06769
719, 173,  533.69781,  1782.01306,  734.57214,  0.63477,  0.11243
720, 175, -9.32422E-06,  1975.37671,  312.86899,  0.50,  0.03751
721, 176,  0.00,  2000.00,  0.00,  0.50,  0.01102
722, 170,  96.68182,  1975.37671,  297.55606,  0.52441,  0.03653
723, 175, -9.32422E-06,  1975.37671,  312.86899,  0.50,  0.03751
724, 170,  96.68182,  1975.37671,  297.55606,  0.52441,  0.03653
725, 174,  190.983,  1902.11304,  587.78528,  0.54834,  0.07343
726, 177,  1144.1228,  1414.2135,  831.25397,  0.78955,  0.20862
727, 172,  951.05652,  1618.03406,  690.98303,  0.74072,  0.14966
728, 148,  1344.99707,  1414.2135,  437.01605,  0.84033,  0.18286
729, 177,  1144.1228,  1414.2135,  831.25397,  0.78955,  0.20862
730, 148,  1344.99707,  1414.2135,  437.01605,  0.84033,  0.18286
731, 145,  1538.8418,  1175.57043,  500.00,  0.88916,  0.24524
732, 178,  690.98297,  1618.03406,  951.05658,  0.6748,  0.16663
733, 173,  533.69781,  1782.01306,  734.57214,  0.63477,  0.11243
734, 172,  951.05652,  1618.03406,  690.98303,  0.74072,  0.14966
735, 178,  690.98297,  1618.03406,  951.05658,  0.6748,  0.16663
736, 172,  951.05652,  1618.03406,  690.98303,  0.74072,  0.14966
737, 177,  1144.1228,  1414.2135,  831.25397,  0.78955,  0.20862
738, 179,  280.58157,  1782.01306,  863.54138,  0.5708,  0.12085
739, 174,  190.983,  1902.11304,  587.78528,  0.54834,  0.07343
740, 173,  533.69781,  1782.01306,  734.57214,  0.63477,  0.11243
741, 179,  280.58157,  1782.01306,  863.54138,  0.5708,  0.12085
742, 173,  533.69781,  1782.01306,  734.57214,  0.63477,  0.11243
743, 178,  690.98297,  1618.03406,  951.05658,  0.6748,  0.16663
744, 180, -0.00002,  1902.11304,  618.03406,  0.50,  0.07538
745, 175, -9.32422E-06,  1975.37671,  312.86899,  0.50,  0.03751
746, 174,  190.983,  1902.11304,  587.78528,  0.54834,  0.07343
747, 180, -0.00002,  1902.11304,  618.03406,  0.50,  0.07538
748, 174,  190.983,  1902.11304,  587.78528,  0.54834,  0.07343
749, 179,  280.58157,  1782.01306,  863.54138,  0.5708,  0.12085
750, 181, -96.68185,  1975.37671,  297.55609,  0.47534,  0.03653
751, 182,  0.00,  2000.00,  0.00,  0.50,  0.01102
752, 175, -9.32422E-06,  1975.37671,  312.86899,  0.50,  0.03751
753, 181, -96.68185,  1975.37671,  297.55609,  0.47534,  0.03653
754, 175, -9.32422E-06,  1975.37671,  312.86899,  0.50,  0.03751
755, 180, -0.00002,  1902.11304,  618.03406,  0.50,  0.07538
756, 183,  363.27124,  1618.03406,  1118.03418,  0.5918,  0.17761
757, 179,  280.58157,  1782.01306,  863.54138,  0.5708,  0.12085
758, 178,  690.98297,  1618.03406,  951.05658,  0.6748,  0.16663
759, 184, -183.8998,  1975.37671,  253.11633,  0.45337,  0.0336
760, 185,  0.00,  2000.00,  0.00,  0.50,  0.01102
761, 181, -96.68185,  1975.37671,  297.55609,  0.47534,  0.03653
762, 186, -0.00003,  1782.01306,  907.98114,  0.50,  0.12378
763, 180, -0.00002,  1902.11304,  618.03406,  0.50,  0.07538
764, 179,  280.58157,  1782.01306,  863.54138,  0.5708,  0.12085
765, 186, -0.00003,  1782.01306,  907.98114,  0.50,  0.12378
766, 179,  280.58157,  1782.01306,  863.54138,  0.5708,  0.12085
767, 183,  363.27124,  1618.03406,  1118.03418,  0.5918,  0.17761
768, 187, -190.98306,  1902.11304,  587.78534,  0.45142,  0.07343
769, 181, -96.68185,  1975.37671,  297.55609,  0.47534,  0.03653
770, 180, -0.00002,  1902.11304,  618.03406,  0.50,  0.07538
771, 187, -190.98306,  1902.11304,  587.78534,  0.45142,  0.07343
772, 180, -0.00002,  1902.11304,  618.03406,  0.50,  0.07538
773, 186, -0.00003,  1782.01306,  907.98114,  0.50,  0.12378
774, 184, -183.8998,  1975.37671,  253.11633,  0.45337,  0.0336
775, 181, -96.68185,  1975.37671,  297.55609,  0.47534,  0.03653
776, 187, -190.98306,  1902.11304,  587.78534,  0.45142,  0.07343
777, 183,  363.27124,  1618.03406,  1118.03418,  0.5918,  0.17761
778, 178,  690.98297,  1618.03406,  951.05658,  0.6748,  0.16663
779, 188,  831.25385,  1414.2135,  1144.1228,  0.70996,  0.22913
780, 188,  831.25385,  1414.2135,  1144.1228,  0.70996,  0.22913
781, 178,  690.98297,  1618.03406,  951.05658,  0.6748,  0.16663
782, 177,  1144.1228,  1414.2135,  831.25397,  0.78955,  0.20862
783, 189, -253.11636,  1975.37671,  183.8998,  0.43579,  0.02908
784, 190,  0.00,  2000.00,  0.00,  0.50,  0.01102
785, 184, -183.8998,  1975.37671,  253.11633,  0.45337,  0.0336
786, 188,  831.25385,  1414.2135,  1144.1228,  0.70996,  0.22913
787, 177,  1144.1228,  1414.2135,  831.25397,  0.78955,  0.20862
788, 191,  1309.01709,  1175.57043,  951.05658,  0.83105,  0.27466
789, 191,  1309.01709,  1175.57043,  951.05658,  0.83105,  0.27466
790, 177,  1144.1228,  1414.2135,  831.25397,  0.78955,  0.20862
791, 145,  1538.8418,  1175.57043,  500.00,  0.88916,  0.24524
792, 191,  1309.01709,  1175.57043,  951.05658,  0.83105,  0.27466
793, 145,  1538.8418,  1175.57043,  500.00,  0.88916,  0.24524
794, 142,  1694.79517,  907.98102,  550.67236,  0.92871,  0.31396
795, 189, -253.11636,  1975.37671,  183.8998,  0.43579,  0.02908
796, 184, -183.8998,  1975.37671,  253.11633,  0.45337,  0.0336
797, 192, -363.27136,  1902.11304,  500.00012,  0.40796,  0.06769
798, 192, -363.27136,  1902.11304,  500.00012,  0.40796,  0.06769
799, 184, -183.8998,  1975.37671,  253.11633,  0.45337,  0.0336
800, 187, -190.98306,  1902.11304,  587.78534,  0.45142,  0.07343
801, 193,  1441.67883,  907.98102,  1047.44116,  0.86475,  0.34644
802, 191,  1309.01709,  1175.57043,  951.05658,  0.83105,  0.27466
803, 142,  1694.79517,  907.98102,  550.67236,  0.92871,  0.31396
804, 193,  1441.67883,  907.98102,  1047.44116,  0.86475,  0.34644
805, 142,  1694.79517,  907.98102,  550.67236,  0.92871,  0.31396
806, 139,  1809.01709,  618.03394,  587.78528,  0.95752,  0.38721
807, 194,  951.05652,  1175.57043,  1309.01709,  0.74072,  0.2981
808, 188,  831.25385,  1414.2135,  1144.1228,  0.70996,  0.22913
809, 191,  1309.01709,  1175.57043,  951.05658,  0.83105,  0.27466
810, 194,  951.05652,  1175.57043,  1309.01709,  0.74072,  0.2981
811, 191,  1309.01709,  1175.57043,  951.05658,  0.83105,  0.27466
812, 193,  1441.67883,  907.98102,  1047.44116,  0.86475,  0.34644
813, 195,  1538.8418,  618.03394,  1118.03418,  0.88916,  0.42212
814, 193,  1441.67883,  907.98102,  1047.44116,  0.86475,  0.34644
815, 139,  1809.01709,  618.03394,  587.78528,  0.95752,  0.38721
816, 195,  1538.8418,  618.03394,  1118.03418,  0.88916,  0.42212
817, 139,  1809.01709,  618.03394,  587.78528,  0.95752,  0.38721
818, 136,  1878.69507,  312.86874,  610.42499,  0.9751,  0.46338
819, 196,  1047.44104,  907.98102,  1441.67896,  0.76465,  0.37231
820, 194,  951.05652,  1175.57043,  1309.01709,  0.74072,  0.2981
821, 193,  1441.67883,  907.98102,  1047.44116,  0.86475,  0.34644
822, 196,  1047.44104,  907.98102,  1441.67896,  0.76465,  0.37231
823, 193,  1441.67883,  907.98102,  1047.44116,  0.86475,  0.34644
824, 195,  1538.8418,  618.03394,  1118.03418,  0.88916,  0.42212
825, 197,  437.01599,  1414.2135,  1344.99719,  0.61035,  0.24231
826, 188,  831.25385,  1414.2135,  1144.1228,  0.70996,  0.22913
827, 194,  951.05652,  1175.57043,  1309.01709,  0.74072,  0.2981
828, 197,  437.01599,  1414.2135,  1344.99719,  0.61035,  0.24231
829, 183,  363.27124,  1618.03406,  1118.03418,  0.5918,  0.17761
830, 188,  831.25385,  1414.2135,  1144.1228,  0.70996,  0.22913
831, 198,  499.99997,  1175.57043,  1538.84192,  0.62646,  0.31323
832, 194,  951.05652,  1175.57043,  1309.01709,  0.74072,  0.2981
833, 196,  1047.44104,  907.98102,  1441.67896,  0.76465,  0.37231
834, 198,  499.99997,  1175.57043,  1538.84192,  0.62646,  0.31323
