VTX, IDX, _input0.x, _input0.y, _input0.z, _input1.x, _input1.y, _input1.z, _input2.x, _input2.y, _input3.x, _input3.y
8711, 1833, -3.728, -0.70056,  0.30894, -0.35625,  0.63249, -0.33621,  0.5813,  0.9631,  0.5813,  0.9631
8712, 1832, -4.23947, -0.97792,  0.28817, -0.288,  0.53225, -0.52323,  0.6151,  0.9245,  0.6151,  0.9245
8713, 1839, -4.57268, -0.99104,  0.44316, -0.24371,  0.7468, -0.15134,  0.6189,  0.8931,  0.6189,  0.8931
8714, 1838, -4.16813, -0.87227,  0.40249, -0.38347,  0.68937, -0.1331,  0.6003,  0.9259,  0.6003,  0.9259
8715, 1832, -4.23947, -0.97792,  0.28817, -0.288,  0.53225, -0.52323,  0.6151,  0.9245,  0.6151,  0.9245
8716, 1840, -4.64333, -1.08089,  0.29676, -0.05237,  0.55115, -0.57749,  0.6351,  0.8936,  0.6351,  0.8936
8717, 1839, -4.57268, -0.99104,  0.44316, -0.24371,  0.7468, -0.15134,  0.6189,  0.8931,  0.6189,  0.8931
8718, 1839, -4.57268, -0.99104,  0.44316, -0.24371,  0.7468, -0.15134,  0.6189,  0.8931,  0.6189,  0.8931
8719, 1840, -4.64333, -1.08089,  0.29676, -0.05237,  0.55115, -0.57749,  0.6351,  0.8936,  0.6351,  0.8936
8720, 1841, -5.13005, -1.23331,  0.11858, -0.05111,  0.55959, -0.56943,  0.6718,  0.8643,  0.6718,  0.8643
8721, 1956,  2.99998,  2.58383,  1.37984,  0.33402,  0.72461, -0.05801,  0.3817,  0.6414,  0.3817,  0.6414
8722, 1954,  2.81656,  2.63422,  1.47483,  0.05282,  0.79477,  0.07451,  0.3935,  0.6357,  0.3935,  0.6357
8723, 1945,  2.95295,  2.53177,  1.68664,  0.35687,  0.54788,  0.46095,  0.3842,  0.6241,  0.3842,  0.6241
8724, 1837, -3.354, -0.60391,  0.40013, -0.20638,  0.59805,  0.48963,  0.5606,  0.9887,  0.5606,  0.9887
8725, 1833, -3.728, -0.70056,  0.30894, -0.35625,  0.63249, -0.33621,  0.5813,  0.9631,  0.5813,  0.9631
8726, 1838, -4.16813, -0.87227,  0.40249, -0.38347,  0.68937, -0.1331,  0.6003,  0.9259,  0.6003,  0.9259
8727, 1956,  2.99998,  2.58383,  1.37984,  0.33402,  0.72461, -0.05801,  0.3817,  0.6414,  0.3817,  0.6414
8728, 1955,  2.66492,  2.61736,  1.24972,  0.03119,  0.79532, -0.08061,  0.403,  0.6478,  0.403,  0.6478
8729, 1954,  2.81656,  2.63422,  1.47483,  0.05282,  0.79477,  0.07451,  0.3935,  0.6357,  0.3935,  0.6357
8730, 1837, -3.354, -0.60391,  0.40013, -0.20638,  0.59805,  0.48963,  0.5606,  0.9887,  0.5606,  0.9887
8731, 1842, -3.51058, -0.73467,  0.67192,  0.04704,  0.70735,  0.37073,  0.5434,  0.9562,  0.5434,  0.9562
8732, 1843, -3.23186, -0.71794,  0.45706,  0.10699,  0.20999,  0.7645,  0.5459,  0.9887,  0.5459,  0.9887
8733, 1842, -3.51058, -0.73467,  0.67192,  0.04704,  0.70735,  0.37073,  0.5434,  0.9562,  0.5434,  0.9562
8734, 1844, -3.16589, -0.87923,  0.44612,  0.24968,  0.07087,  0.75673,  0.5313,  0.9867,  0.5313,  0.9867
8735, 1843, -3.23186, -0.71794,  0.45706,  0.10699,  0.20999,  0.7645,  0.5459,  0.9887,  0.5459,  0.9887
8736, 1842, -3.51058, -0.73467,  0.67192,  0.04704,  0.70735,  0.37073,  0.5434,  0.9562,  0.5434,  0.9562
8737, 1845, -3.4497, -0.85371,  0.8006,  0.41716,  0.45259,  0.51102,  0.5289,  0.9501,  0.5289,  0.9501
8738, 1844, -3.16589, -0.87923,  0.44612,  0.24968,  0.07087,  0.75673,  0.5313,  0.9867,  0.5313,  0.9867
8739, 1846, -3.79375, -0.84773,  1.08531, -0.03554,  0.75457,  0.26337,  0.5315,  0.9158,  0.5315,  0.9158
8740, 1845, -3.4497, -0.85371,  0.8006,  0.41716,  0.45259,  0.51102,  0.5289,  0.9501,  0.5289,  0.9501
8741, 1842, -3.51058, -0.73467,  0.67192,  0.04704,  0.70735,  0.37073,  0.5434,  0.9562,  0.5434,  0.9562
8742, 1837, -3.354, -0.60391,  0.40013, -0.20638,  0.59805,  0.48963,  0.5606,  0.9887,  0.5606,  0.9887
8743, 1838, -4.16813, -0.87227,  0.40249, -0.38347,  0.68937, -0.1331,  0.6003,  0.9259,  0.6003,  0.9259
8744, 1847, -4.0252, -0.79089,  0.65186, -0.26094,  0.747,  0.11792,  0.574,  0.9248,  0.574,  0.9248
8745, 1842, -3.51058, -0.73467,  0.67192,  0.04704,  0.70735,  0.37073,  0.5434,  0.9562,  0.5434,  0.9562
8746, 1837, -3.354, -0.60391,  0.40013, -0.20638,  0.59805,  0.48963,  0.5606,  0.9887,  0.5606,  0.9887
8747, 1847, -4.0252, -0.79089,  0.65186, -0.26094,  0.747,  0.11792,  0.574,  0.9248,  0.574,  0.9248
8748, 1839, -4.57268, -0.99104,  0.44316, -0.24371,  0.7468, -0.15134,  0.6189,  0.8931,  0.6189,  0.8931
8749, 1847, -4.0252, -0.79089,  0.65186, -0.26094,  0.747,  0.11792,  0.574,  0.9248,  0.574,  0.9248
8750, 1838, -4.16813, -0.87227,  0.40249, -0.38347,  0.68937, -0.1331,  0.6003,  0.9259,  0.6003,  0.9259
8751, 1942,  2.46449,  2.57739,  1.41864, -0.24073,  0.74931,  0.14348,  0.4155,  0.6322,  0.4155,  0.6322
8752, 1954,  2.81656,  2.63422,  1.47483,  0.05282,  0.79477,  0.07451,  0.3935,  0.6357,  0.3935,  0.6357
8753, 1955,  2.66492,  2.61736,  1.24972,  0.03119,  0.79532, -0.08061,  0.403,  0.6478,  0.403,  0.6478
8754, 1842, -3.51058, -0.73467,  0.67192,  0.04704,  0.70735,  0.37073,  0.5434,  0.9562,  0.5434,  0.9562
8755, 1847, -4.0252, -0.79089,  0.65186, -0.26094,  0.747,  0.11792,  0.574,  0.9248,  0.574,  0.9248
8756, 1846, -3.79375, -0.84773,  1.08531, -0.03554,  0.75457,  0.26337,  0.5315,  0.9158,  0.5315,  0.9158
8757, 1949,  2.65586,  2.60217,  1.61032, -0.09113,  0.74862,  0.26694,  0.4016,  0.6255,  0.4016,  0.6255
8758, 1945,  2.95295,  2.53177,  1.68664,  0.35687,  0.54788,  0.46095,  0.3842,  0.6241,  0.3842,  0.6241
8759, 1954,  2.81656,  2.63422,  1.47483,  0.05282,  0.79477,  0.07451,  0.3935,  0.6357,  0.3935,  0.6357
8760, 1846, -3.79375, -0.84773,  1.08531, -0.03554,  0.75457,  0.26337,  0.5315,  0.9158,  0.5315,  0.9158
8761, 1848, -4.23756, -0.85808,  1.07341, -0.17978,  0.77722,  0.06012,  0.5556,  0.8891,  0.5556,  0.8891
8762, 1849, -4.12173, -0.86524,  1.32025, -0.00717,  0.73725,  0.3105,  0.5322,  0.8847,  0.5322,  0.8847
8763, 1850, -4.37752, -0.92061,  1.29099, -0.24882,  0.6288,  0.42744,  0.5463,  0.8683,  0.5463,  0.8683
8764, 1849, -4.12173, -0.86524,  1.32025, -0.00717,  0.73725,  0.3105,  0.5322,  0.8847,  0.5322,  0.8847
8765, 1848, -4.23756, -0.85808,  1.07341, -0.17978,  0.77722,  0.06012,  0.5556,  0.8891,  0.5556,  0.8891
8766, 1848, -4.23756, -0.85808,  1.07341, -0.17978,  0.77722,  0.06012,  0.5556,  0.8891,  0.5556,  0.8891
8767, 1846, -3.79375, -0.84773,  1.08531, -0.03554,  0.75457,  0.26337,  0.5315,  0.9158,  0.5315,  0.9158
8768, 1847, -4.0252, -0.79089,  0.65186, -0.26094,  0.747,  0.11792,  0.574,  0.9248,  0.574,  0.9248
8769, 1942,  2.46449,  2.57739,  1.41864, -0.24073,  0.74931,  0.14348,  0.4155,  0.6322,  0.4155,  0.6322
8770, 1949,  2.65586,  2.60217,  1.61032, -0.09113,  0.74862,  0.26694,  0.4016,  0.6255,  0.4016,  0.6255
8771, 1954,  2.81656,  2.63422,  1.47483,  0.05282,  0.79477,  0.07451,  0.3935,  0.6357,  0.3935,  0.6357
8772, 1848, -4.23756, -0.85808,  1.07341, -0.17978,  0.77722,  0.06012,  0.5556,  0.8891,  0.5556,  0.8891
8773, 1847, -4.0252, -0.79089,  0.65186, -0.26094,  0.747,  0.11792,  0.574,  0.9248,  0.574,  0.9248
8774, 1851, -4.46592, -0.93139,  0.64746, -0.28422,  0.74733, -0.02689,  0.5982,  0.8925,  0.5982,  0.8925
8775, 1851, -4.46592, -0.93139,  0.64746, -0.28422,  0.74733, -0.02689,  0.5982,  0.8925,  0.5982,  0.8925
8776, 1847, -4.0252, -0.79089,  0.65186, -0.26094,  0.747,  0.11792,  0.574,  0.9248,  0.574,  0.9248
8777, 1839, -4.57268, -0.99104,  0.44316, -0.24371,  0.7468, -0.15134,  0.6189,  0.8931,  0.6189,  0.8931
