VTX, IDX, _input0.x, _input0.y, _input0.z, _input1.x, _input1.y, _input1.z, _input2.x, _input2.y, _input3.x, _input3.y
4547, 1043,  2.10108,  0.2623,  2.24131, -0.41375, -0.24763,  0.50744,  0.31989,  0.11823,  0.31989,  0.11823
4548, 1049,  2.41252,  0.42286,  2.3514,  0.08903,  0.06025,  0.6917,  0.31346,  0.07964,  0.31346,  0.07964
4549, 1056,  2.39925,  0.54754,  2.31992,  0.08606,  0.29872,  0.62719,  0.32411,  0.07268,  0.32411,  0.07268
4550, 1050,  2.36131,  0.53867,  2.32672,  0.0091,  0.27806,  0.64234,  0.32579,  0.07651,  0.32579,  0.07651
4551, 1031,  2.37893,  0.65644,  2.2493,  0.06495,  0.48269,  0.50279,  0.33524,  0.0654,  0.33524,  0.0654
4552, 1050,  2.36131,  0.53867,  2.32672,  0.0091,  0.27806,  0.64234,  0.32579,  0.07651,  0.32579,  0.07651
4553, 1056,  2.39925,  0.54754,  2.31992,  0.08606,  0.29872,  0.62719,  0.32411,  0.07268,  0.32411,  0.07268
4554, 1057,  2.43808,  0.5427,  2.31434,  0.16799,  0.29243,  0.61341,  0.32127,  0.06959,  0.32127,  0.06959
4555, 1031,  2.37893,  0.65644,  2.2493,  0.06495,  0.48269,  0.50279,  0.33524,  0.0654,  0.33524,  0.0654
4556, 1056,  2.39925,  0.54754,  2.31992,  0.08606,  0.29872,  0.62719,  0.32411,  0.07268,  0.32411,  0.07268
4557, 1049,  2.41252,  0.42286,  2.3514,  0.08903,  0.06025,  0.6917,  0.31346,  0.07964,  0.31346,  0.07964
4558, 1057,  2.43808,  0.5427,  2.31434,  0.16799,  0.29243,  0.61341,  0.32127,  0.06959,  0.32127,  0.06959
4559, 1056,  2.39925,  0.54754,  2.31992,  0.08606,  0.29872,  0.62719,  0.32411,  0.07268,  0.32411,  0.07268
4560, 1049,  2.41252,  0.42286,  2.3514,  0.08903,  0.06025,  0.6917,  0.31346,  0.07964,  0.31346,  0.07964
4561, 1054,  2.29121,  0.40452,  2.34977, -0.12387,  0.01756,  0.68873,  0.31951,  0.09083,  0.31951,  0.09083
4562, 1058,  2.30394,  0.36481,  2.3509, -0.10525, -0.05267,  0.69004,  0.31555,  0.09219,  0.31555,  0.09219
4563, 1054,  2.29121,  0.40452,  2.34977, -0.12387,  0.01756,  0.68873,  0.31951,  0.09083,  0.31951,  0.09083
4564, 1055,  2.19626,  0.30947,  2.31273, -0.26915, -0.16176,  0.62561,  0.31774,  0.1053,  0.31774,  0.1053
4565, 1058,  2.30394,  0.36481,  2.3509, -0.10525, -0.05267,  0.69004,  0.31555,  0.09219,  0.31555,  0.09219
4566, 1049,  2.41252,  0.42286,  2.3514,  0.08903,  0.06025,  0.6917,  0.31346,  0.07964,  0.31346,  0.07964
4567, 1058,  2.30394,  0.36481,  2.3509, -0.10525, -0.05267,  0.69004,  0.31555,  0.09219,  0.31555,  0.09219
4568, 1059,  2.32798,  0.33122,  2.3498, -0.06346, -0.12113,  0.68651,  0.31136,  0.09219,  0.31136,  0.09219
4569, 1055,  2.19626,  0.30947,  2.31273, -0.26915, -0.16176,  0.62561,  0.31774,  0.1053,  0.31774,  0.1053
4570, 1059,  2.32798,  0.33122,  2.3498, -0.06346, -0.12113,  0.68651,  0.31136,  0.09219,  0.31136,  0.09219
4571, 1058,  2.30394,  0.36481,  2.3509, -0.10525, -0.05267,  0.69004,  0.31555,  0.09219,  0.31555,  0.09219
4572, 1049,  2.41252,  0.42286,  2.3514,  0.08903,  0.06025,  0.6917,  0.31346,  0.07964,  0.31346,  0.07964
4573, 1060,  2.47359,  0.52475,  2.31064,  0.24346,  0.26149,  0.60196,  0.31759,  0.0676,  0.31759,  0.0676
4574, 1057,  2.43808,  0.5427,  2.31434,  0.16799,  0.29243,  0.61341,  0.32127,  0.06959,  0.32127,  0.06959
4575, 1049,  2.41252,  0.42286,  2.3514,  0.08903,  0.06025,  0.6917,  0.31346,  0.07964,  0.31346,  0.07964
4576, 1059,  2.32798,  0.33122,  2.3498, -0.06346, -0.12113,  0.68651,  0.31136,  0.09219,  0.31136,  0.09219
4577, 1061,  2.36066,  0.30759,  2.34669, -0.00776, -0.16839,  0.6794,  0.3074,  0.09083,  0.3074,  0.09083
4578, 1031,  2.37893,  0.65644,  2.2493,  0.06495,  0.48269,  0.50279,  0.33524,  0.0654,  0.33524,  0.0654
4579, 1057,  2.43808,  0.5427,  2.31434,  0.16799,  0.29243,  0.61341,  0.32127,  0.06959,  0.32127,  0.06959
4580, 1062,  2.45308,  0.64745,  2.23743,  0.2105,  0.47017,  0.47395,  0.32944,  0.0591,  0.32944,  0.0591
4581, 1060,  2.47359,  0.52475,  2.31064,  0.24346,  0.26149,  0.60196,  0.31759,  0.0676,  0.31759,  0.0676
4582, 1062,  2.45308,  0.64745,  2.23743,  0.2105,  0.47017,  0.47395,  0.32944,  0.0591,  0.32944,  0.0591
4583, 1057,  2.43808,  0.5427,  2.31434,  0.16799,  0.29243,  0.61341,  0.32127,  0.06959,  0.32127,  0.06959
4584, 1029,  2.45491,  0.72524,  2.13095,  0.22243,  0.59623,  0.2916,  0.33749,  0.04876,  0.33749,  0.04876
4585, 1031,  2.37893,  0.65644,  2.2493,  0.06495,  0.48269,  0.50279,  0.33524,  0.0654,  0.33524,  0.0654
4586, 1062,  2.45308,  0.64745,  2.23743,  0.2105,  0.47017,  0.47395,  0.32944,  0.0591,  0.32944,  0.0591
4587, 1063,  2.52093,  0.61349,  2.22894,  0.34471,  0.40974,  0.45087,  0.32191,  0.05502,  0.32191,  0.05502
4588, 1029,  2.45491,  0.72524,  2.13095,  0.22243,  0.59623,  0.2916,  0.33749,  0.04876,  0.33749,  0.04876
4589, 1062,  2.45308,  0.64745,  2.23743,  0.2105,  0.47017,  0.47395,  0.32944,  0.0591,  0.32944,  0.0591
4590, 1062,  2.45308,  0.64745,  2.23743,  0.2105,  0.47017,  0.47395,  0.32944,  0.0591,  0.32944,  0.0591
4591, 1060,  2.47359,  0.52475,  2.31064,  0.24346,  0.26149,  0.60196,  0.31759,  0.0676,  0.31759,  0.0676
4592, 1063,  2.52093,  0.61349,  2.22894,  0.34471,  0.40974,  0.45087,  0.32191,  0.05502,  0.32191,  0.05502
4593, 1029,  2.45491,  0.72524,  2.13095,  0.22243,  0.59623,  0.2916,  0.33749,  0.04876,  0.33749,  0.04876
4594, 1063,  2.52093,  0.61349,  2.22894,  0.34471,  0.40974,  0.45087,  0.32191,  0.05502,  0.32191,  0.05502
4595, 1032,  2.54861,  0.67947,  2.11695,  0.39767,  0.51337,  0.26136,  0.32616,  0.04263,  0.32616,  0.04263
4596, 1059,  2.32798,  0.33122,  2.3498, -0.06346, -0.12113,  0.68651,  0.31136,  0.09219,  0.31136,  0.09219
4597, 1055,  2.19626,  0.30947,  2.31273, -0.26915, -0.16176,  0.62561,  0.31774,  0.1053,  0.31774,  0.1053
4598, 1064,  2.24303,  0.24661,  2.30793, -0.19623, -0.2742,  0.61344,  0.30917,  0.1053,  0.30917,  0.1053
4599, 1055,  2.19626,  0.30947,  2.31273, -0.26915, -0.16176,  0.62561,  0.31774,  0.1053,  0.31774,  0.1053
4600, 1052,  2.16597,  0.17727,  2.23237, -0.30789, -0.39998,  0.485,  0.30701,  0.11823,  0.30701,  0.11823
4601, 1064,  2.24303,  0.24661,  2.30793, -0.19623, -0.2742,  0.61344,  0.30917,  0.1053,  0.30917,  0.1053
4602, 1065,  2.30589,  0.20194,  2.2999, -0.09167, -0.35901,  0.59389,  0.30107,  0.10252,  0.30107,  0.10252
4603, 1059,  2.32798,  0.33122,  2.3498, -0.06346, -0.12113,  0.68651,  0.31136,  0.09219,  0.31136,  0.09219
4604, 1064,  2.24303,  0.24661,  2.30793, -0.19623, -0.2742,  0.61344,  0.30917,  0.1053,  0.30917,  0.1053
4605, 1052,  2.16597,  0.17727,  2.23237, -0.30789, -0.39998,  0.485,  0.30701,  0.11823,  0.30701,  0.11823
4606, 1065,  2.30589,  0.20194,  2.2999, -0.09167, -0.35901,  0.59389,  0.30107,  0.10252,  0.30107,  0.10252
4607, 1064,  2.24303,  0.24661,  2.30793, -0.19623, -0.2742,  0.61344,  0.30917,  0.1053,  0.30917,  0.1053
4608, 1059,  2.32798,  0.33122,  2.3498, -0.06346, -0.12113,  0.68651,  0.31136,  0.09219,  0.31136,  0.09219
4609, 1065,  2.30589,  0.20194,  2.2999, -0.09167, -0.35901,  0.59389,  0.30107,  0.10252,  0.30107,  0.10252
4610, 1061,  2.36066,  0.30759,  2.34669, -0.00776, -0.16839,  0.6794,  0.3074,  0.09083,  0.3074,  0.09083
4611, 1060,  2.47359,  0.52475,  2.31064,  0.24346,  0.26149,  0.60196,  0.31759,  0.0676,  0.31759,  0.0676
4612, 1066,  2.57513,  0.55876,  2.22503,  0.44986,  0.3118,  0.43636,  0.31346,  0.05361,  0.31346,  0.05361
4613, 1063,  2.52093,  0.61349,  2.22894,  0.34471,  0.40974,  0.45087,  0.32191,  0.05502,  0.32191,  0.05502
4614, 1066,  2.57513,  0.55876,  2.22503,  0.44986,  0.3118,  0.43636,  0.31346,  0.05361,  0.31346,  0.05361
4615, 1032,  2.54861,  0.67947,  2.11695,  0.39767,  0.51337,  0.26136,  0.32616,  0.04263,  0.32616,  0.04263
4616, 1063,  2.52093,  0.61349,  2.22894,  0.34471,  0.40974,  0.45087,  0.32191,  0.05502,  0.32191,  0.05502
4617, 1049,  2.41252,  0.42286,  2.3514,  0.08903,  0.06025,  0.6917,  0.31346,  0.07964,  0.31346,  0.07964
4618, 1067,  2.50193,  0.49574,  2.30925,  0.3026,  0.20898,  0.59562,  0.31346,  0.06691,  0.31346,  0.06691
4619, 1060,  2.47359,  0.52475,  2.31064,  0.24346,  0.26149,  0.60196,  0.31759,  0.0676,  0.31759,  0.0676
4620, 1066,  2.57513,  0.55876,  2.22503,  0.44986,  0.3118,  0.43636,  0.31346,  0.05361,  0.31346,  0.05361
4621, 1060,  2.47359,  0.52475,  2.31064,  0.24346,  0.26149,  0.60196,  0.31759,  0.0676,  0.31759,  0.0676
4622, 1067,  2.50193,  0.49574,  2.30925,  0.3026,  0.20898,  0.59562,  0.31346,  0.06691,  0.31346,  0.06691
4623, 1049,  2.41252,  0.42286,  2.3514,  0.08903,  0.06025,  0.6917,  0.31346,  0.07964,  0.31346,  0.07964
4624, 1068,  2.52007,  0.45882,  2.31029,  0.32386,  0.17568,  0.59519,  0.30932,  0.0676,  0.30932,  0.0676
4625, 1067,  2.50193,  0.49574,  2.30925,  0.3026,  0.20898,  0.59562,  0.31346,  0.06691,  0.31346,  0.06691
4626, 1068,  2.52007,  0.45882,  2.31029,  0.32386,  0.17568,  0.59519,  0.30932,  0.0676,  0.30932,  0.0676
4627, 1066,  2.57513,  0.55876,  2.22503,  0.44986,  0.3118,  0.43636,  0.31346,  0.05361,  0.31346,  0.05361
4628, 1067,  2.50193,  0.49574,  2.30925,  0.3026,  0.20898,  0.59562,  0.31346,  0.06691,  0.31346,  0.06691
4629, 1066,  2.57513,  0.55876,  2.22503,  0.44986,  0.3118,  0.43636,  0.31346,  0.05361,  0.31346,  0.05361
4630, 1068,  2.52007,  0.45882,  2.31029,  0.32386,  0.17568,  0.59519,  0.30932,  0.0676,  0.30932,  0.0676
4631, 1069,  2.60974,  0.48923,  2.22643,  0.53481,  0.20489,  0.4025,  0.30501,  0.05502,  0.30501,  0.05502
4632, 1032,  2.54861,  0.67947,  2.11695,  0.39767,  0.51337,  0.26136,  0.32616,  0.04263,  0.32616,  0.04263
4633, 1066,  2.57513,  0.55876,  2.22503,  0.44986,  0.3118,  0.43636,  0.31346,  0.05361,  0.31346,  0.05361
4634, 1070,  2.62371,  0.60528,  2.10902,  0.53573,  0.37974,  0.24245,  0.31346,  0.04051,  0.31346,  0.04051
4635, 1069,  2.60974,  0.48923,  2.22643,  0.53481,  0.20489,  0.4025,  0.30501,  0.05502,  0.30501,  0.05502
4636, 1070,  2.62371,  0.60528,  2.10902,  0.53573,  0.37974,  0.24245,  0.31346,  0.04051,  0.31346,  0.04051
4637, 1066,  2.57513,  0.55876,  2.22503,  0.44986,  0.3118,  0.43636,  0.31346,  0.05361,  0.31346,  0.05361
4638, 1034,  2.64003,  0.629,  1.97876,  0.55475,  0.4023,  0.14285,  0.31346,  0.02728,  0.31346,  0.02728
4639, 1032,  2.54861,  0.67947,  2.11695,  0.39767,  0.51337,  0.26136,  0.32616,  0.04263,  0.32616,  0.04263
4640, 1070,  2.62371,  0.60528,  2.10902,  0.53573,  0.37974,  0.24245,  0.31346,  0.04051,  0.31346,  0.04051
4641, 1070,  2.62371,  0.60528,  2.10902,  0.53573,  0.37974,  0.24245,  0.31346,  0.04051,  0.31346,  0.04051
4642, 1069,  2.60974,  0.48923,  2.22643,  0.53481,  0.20489,  0.4025,  0.30501,  0.05502,  0.30501,  0.05502
4643, 1071,  2.67183,  0.51104,  2.10892,  0.62454,  0.20992,  0.23641,  0.30075,  0.04263,  0.30075,  0.04263
4644, 1071,  2.67183,  0.51104,  2.10892,  0.62454,  0.20992,  0.23641,  0.30075,  0.04263,  0.30075,  0.04263
4645, 1034,  2.64003,  0.629,  1.97876,  0.55475,  0.4023,  0.14285,  0.31346,  0.02728,  0.31346,  0.02728
4646, 1070,  2.62371,  0.60528,  2.10902,  0.53573,  0.37974,  0.24245,  0.31346,  0.04051,  0.31346,  0.04051
4647, 1072,  2.62099,  0.41218,  2.23296,  0.60721,  0.02738,  0.3472,  0.29747,  0.0591,  0.29747,  0.0591
4648, 1071,  2.67183,  0.51104,  2.10892,  0.62454,  0.20992,  0.23641,  0.30075,  0.04263,  0.30075,  0.04263
4649, 1069,  2.60974,  0.48923,  2.22643,  0.53481,  0.20489,  0.4025,  0.30501,  0.05502,  0.30501,  0.05502
4650, 1034,  2.64003,  0.629,  1.97876,  0.55475,  0.4023,  0.14285,  0.31346,  0.02728,  0.31346,  0.02728
4651, 1071,  2.67183,  0.51104,  2.10892,  0.62454,  0.20992,  0.23641,  0.30075,  0.04263,  0.30075,  0.04263
4652, 1073,  2.69669,  0.52017,  1.9766,  0.65042,  0.2189,  0.13798,  0.29645,  0.03011,  0.29645,  0.03011
4653, 1071,  2.67183,  0.51104,  2.10892,  0.62454,  0.20992,  0.23641,  0.30075,  0.04263,  0.30075,  0.04263
4654, 1072,  2.62099,  0.41218,  2.23296,  0.60721,  0.02738,  0.3472,  0.29747,  0.0591,  0.29747,  0.0591
4655, 1074,  2.68759,  0.40637,  2.11693,  0.65613,  0.0188,  0.24319,  0.28942,  0.04876,  0.28942,  0.04876
4656, 1074,  2.68759,  0.40637,  2.11693,  0.65613,  0.0188,  0.24319,  0.28942,  0.04876,  0.28942,  0.04876
4657, 1073,  2.69669,  0.52017,  1.9766,  0.65042,  0.2189,  0.13798,  0.29645,  0.03011,  0.29645,  0.03011
4658, 1071,  2.67183,  0.51104,  2.10892,  0.62454,  0.20992,  0.23641,  0.30075,  0.04263,  0.30075,  0.04263
4659, 1073,  2.69669,  0.52017,  1.9766,  0.65042,  0.2189,  0.13798,  0.29645,  0.03011,  0.29645,  0.03011
4660, 1074,  2.68759,  0.40637,  2.11693,  0.65613,  0.0188,  0.24319,  0.28942,  0.04876,  0.28942,  0.04876
4661, 1075,  2.71579,  0.39935,  1.98404,  0.68472,  0.01286,  0.14489,  0.28129,  0.03832,  0.28129,  0.03832
4662, 1076,  2.60784,  0.33578,  2.24339,  0.53783, -0.13685,  0.42663,  0.29167,  0.0654,  0.29167,  0.0654
4663, 1074,  2.68759,  0.40637,  2.11693,  0.65613,  0.0188,  0.24319,  0.28942,  0.04876,  0.28942,  0.04876
4664, 1072,  2.62099,  0.41218,  2.23296,  0.60721,  0.02738,  0.3472,  0.29747,  0.0591,  0.29747,  0.0591
4665, 1077,  2.66942,  0.30218,  2.1317,  0.62612, -0.17207,  0.26147,  0.2807,  0.05823,  0.2807,  0.05823
4666, 1075,  2.71579,  0.39935,  1.98404,  0.68472,  0.01286,  0.14489,  0.28129,  0.03832,  0.28129,  0.03832
4667, 1074,  2.68759,  0.40637,  2.11693,  0.65613,  0.0188,  0.24319,  0.28942,  0.04876,  0.28942,  0.04876
4668, 1074,  2.68759,  0.40637,  2.11693,  0.65613,  0.0188,  0.24319,  0.28942,  0.04876,  0.28942,  0.04876
4669, 1076,  2.60784,  0.33578,  2.24339,  0.53783, -0.13685,  0.42663,  0.29167,  0.0654,  0.29167,  0.0654
4670, 1077,  2.66942,  0.30218,  2.1317,  0.62612, -0.17207,  0.26147,  0.2807,  0.05823,  0.2807,  0.05823
4671, 1075,  2.71579,  0.39935,  1.98404,  0.68472,  0.01286,  0.14489,  0.28129,  0.03832,  0.28129,  0.03832
4672, 1077,  2.66942,  0.30218,  2.1317,  0.62612, -0.17207,  0.26147,  0.2807,  0.05823,  0.2807,  0.05823
4673, 1078,  2.69526,  0.27876,  2.00001,  0.653, -0.19271,  0.16264,  0.26962,  0.051,  0.26962,  0.051
4674, 1079,  2.57209,  0.26817,  2.25576,  0.44897, -0.23896,  0.48097,  0.28823,  0.07325,  0.28823,  0.07325
4675, 1077,  2.66942,  0.30218,  2.1317,  0.62612, -0.17207,  0.26147,  0.2807,  0.05823,  0.2807,  0.05823
4676, 1076,  2.60784,  0.33578,  2.24339,  0.53783, -0.13685,  0.42663,  0.29167,  0.0654,  0.29167,  0.0654
4677, 1080,  2.5194,  0.37756,  2.31847,  0.32208, -0.06445,  0.61815,  0.3028,  0.07267,  0.3028,  0.07267
4678, 1079,  2.57209,  0.26817,  2.25576,  0.44897, -0.23896,  0.48097,  0.28823,  0.07325,  0.28823,  0.07325
4679, 1076,  2.60784,  0.33578,  2.24339,  0.53783, -0.13685,  0.42663,  0.29167,  0.0654,  0.29167,  0.0654
4680, 1081,  2.61987,  0.20951,  2.15028,  0.53733, -0.34171,  0.2907,  0.27552,  0.07003,  0.27552,  0.07003
4681, 1078,  2.69526,  0.27876,  2.00001,  0.653, -0.19271,  0.16264,  0.26962,  0.051,  0.26962,  0.051
4682, 1077,  2.66942,  0.30218,  2.1317,  0.62612, -0.17207,  0.26147,  0.2807,  0.05823,  0.2807,  0.05823
4683, 1077,  2.66942,  0.30218,  2.1317,  0.62612, -0.17207,  0.26147,  0.2807,  0.05823,  0.2807,  0.05823
4684, 1079,  2.57209,  0.26817,  2.25576,  0.44897, -0.23896,  0.48097,  0.28823,  0.07325,  0.28823,  0.07325
4685, 1081,  2.61987,  0.20951,  2.15028,  0.53733, -0.34171,  0.2907,  0.27552,  0.07003,  0.27552,  0.07003
